BER,OSNR,InputPower,Failures
2.29e-08,38.6,-20.6,0
2.59e-07,25.0,-20.6,0
2.24e-08,38.6,-20.6,0
2.58e-07,25.2,-20.6,0
1.72e-08,38.5,-20.6,0
2.58e-07,25.1,-20.6,0
2.58e-07,25.1,-20.6,0
2.33e-08,38.6,-20.6,0
2.37e-08,38.6,-20.6,0
2.57e-07,25.0,-20.6,0
2.58e-07,25.1,-20.6,0
2.37e-08,38.6,-20.6,0
2.57e-07,25.4,-20.6,0
2.42e-08,38.5,-20.6,0
2.58e-07,25.4,-20.6,0
2.46e-08,38.6,-20.6,0
2.5e-08,38.6,-20.6,0
2.56e-07,24.9,-20.6,0
2.44e-08,38.5,-20.6,0
2.58e-07,25.1,-20.6,0
2.59e-07,25.0,-20.1,0
2.44e-08,38.6,-20.1,0
2.58e-07,24.9,-20.1,0
3e-08,38.6,-20.1,0
2.19e-07,25.1,-20.1,0
2.42e-08,38.5,-20.1,0
2.34e-08,38.6,-20.1,0
2.16e-07,25.2,-20.1,0
2.18e-07,25.6,-20.1,0
2.3e-08,38.6,-20.1,0
2.42e-08,38.6,-20.1,0
2.14e-07,25.4,-20.1,0
2.16e-07,25.4,-20.1,0
2.43e-08,38.5,-20.1,0
2.36e-08,38.5,-20.1,0
2.17e-07,25.2,-20.1,0
2.3e-08,38.6,-20.1,0
2.17e-07,25.5,-20.1,0
2.44e-08,38.6,-20.1,0
2.18e-07,25.3,-20.1,0
2.3e-08,38.6,-20.1,0
2.17e-07,25.2,-20.1,0
2.31e-08,38.6,-20.1,0
2.21e-07,25.6,-20.1,0
2.26e-08,38.6,-20.1,0
2.17e-07,25.6,-20.1,0
2.18e-07,25.5,-20.1,0
2.31e-08,38.0,-20.1,0
2.36e-08,38.6,-20.1,0
2.18e-07,25.2,-20.1,0
2.37e-08,38.5,-20.1,0
2.16e-07,25.3,-20.1,0
2.35e-08,38.5,-20.1,0
2.18e-07,25.3,-20.1,0
2.26e-08,38.5,-20.1,0
2.17e-07,25.3,-20.1,0
2.2e-08,38.5,-20.1,0
2.18e-07,25.3,-20.1,0
2.19e-08,38.6,-19.6,0
2.15e-07,25.4,-19.6,0
2.22e-08,38.5,-19.6,0
2.15e-07,25.5,-19.6,0
2.22e-08,38.6,-19.6,0
1.83e-07,25.7,-19.6,0
2.17e-08,38.5,-19.6,0
1.84e-07,25.4,-19.6,0
1.84e-07,25.6,-19.6,0
2.25e-08,38.6,-19.6,0
2.2e-08,38.6,-19.6,0
1.84e-07,25.6,-19.6,0
1.83e-07,25.6,-19.6,0
2.21e-08,38.5,-19.6,0
1.82e-07,25.4,-19.6,0
2.26e-08,38.5,-19.6,0
1.84e-07,25.5,-19.6,0
2.12e-08,38.5,-19.6,0
2.13e-08,38.6,-19.6,0
1.86e-07,25.8,-19.6,0
2.14e-08,38.6,-19.6,0
1.86e-07,25.5,-19.6,0
1.86e-07,25.6,-19.6,0
2.18e-08,38.6,-19.6,0
2.15e-08,38.5,-19.6,0
1.84e-07,25.5,-19.6,0
2.08e-08,38.5,-19.6,0
1.85e-07,25.3,-19.6,0
2.09e-08,38.6,-19.6,0
1.85e-07,25.6,-19.6,0
1.84e-07,25.5,-19.6,0
2.11e-08,38.6,-19.6,0
1.83e-07,25.7,-19.6,0
2.14e-08,38.6,-19.6,0
1.83e-07,25.6,-19.6,0
2.18e-08,38.5,-19.6,0
2.16e-08,38.6,-19.6,0
1.81e-07,25.5,-19.6,0
2.14e-08,38.3,-19.2,0
1.82e-07,25.6,-19.2,0
1.76e-07,25.6,-19.2,0
1.63e-08,38.5,-19.2,0
1.61e-07,25.8,-19.2,0
2.16e-08,38.6,-19.2,0
1.6e-07,25.6,-19.2,0
2.17e-08,38.5,-19.2,0
2.19e-08,38.6,-19.2,0
1.61e-07,25.8,-19.2,0
1.63e-07,26.0,-19.2,0
2.24e-08,38.6,-19.2,0
2.17e-08,38.6,-19.2,0
1.6e-07,25.6,-19.2,0
2.13e-08,38.6,-19.2,0
1.63e-07,25.7,-19.2,0
1.63e-07,25.8,-19.2,0
2.15e-08,38.6,-19.2,0
1.63e-07,25.8,-19.2,0
2.1e-08,38.6,-19.2,0
2.04e-08,37.0,-19.2,0
1.63e-07,25.8,-19.2,0
1.65e-07,25.9,-19.2,0
2.13e-08,38.6,-19.2,0
