BER,OSNR,InputPower
0.01385783,20.7,-9.03
0.01402739,21.0,-9.04
0.0143806,20.7,-9.03
0.01472716,20.4,-9.17
0.01424035,20.4,-9.16
0.01492388,20.7,-9.16
0.01613026,20.4,-9.29
0.016988073,20.2,-32.45
0.017933028,0.0,-32.57
0.018877983,0.0,-32.58
0.019822938,21.2,-8.52
0.001795056,29.1,-5.04
0.001831122,29.6,-5.04
0.001867331,29.6,-5.04
0.001614981,29.1,-5.04
0.002806846,27.4,-5.7
0.002727972,28.7,-5.71
0.002580234,27.8,-5.7
0.002727489,29.1,-5.7
0.002866273,26.3,-6.02
0.003158852,27.4,-6.02
0.00359252,26.3,-6.4
0.003560398,26.6,-6.4
0.003761711,25.5,-6.4
0.004455337,25.5,-6.84
0.00472687,25.2,-6.84
0.004626428,25.2,-6.84
0.004326517,24.8,-6.84
0.005592348,23.5,-7.35
0.00624103,24.5,-7.35
0.006129558,23.2,-7.35
0.006132341,24.2,-7.35
0.00605768,23.5,-7.51
0.006599883,23.5,-7.51
0.006622992,22.9,-7.51
0.006746508,23.5,-7.51
0.007168681,22.9,-7.68
0.007237094,22.9,-7.68
0.007212217,22.9,-7.68
0.006732965,23.5,-7.69
0.007060701,22.9,-7.8
0.007469025,23.5,-7.8
0.0070062,22.6,-7.8
0.007930715,23.5,-7.84
0.007443191,23.2,-7.86
0.007793455,23.2,-7.83
0.007643894,23.5,-7.84
0.007108845,22.6,-7.84
0.007212201,23.2,-7.83
0.007297855,22.9,-7.84
0.007622715,22.6,-7.84
0.007541801,22.6,-7.84
0.007171441,22.9,-7.84
0.007564711,22.6,-7.96
0.00824606,22.9,-7.96
0.007743783,22.6,-7.96
0.007621095,22.6,-7.96
0.008267354,22.9,-7.95
0.007682021,22.6,-7.95
0.007903153,22.6,-7.96
0.00810548,22.6,-7.95
0.008176762,22.6,-7.95
0.008252662,23.2,-7.96
0.008502966,23.2,-7.96
0.007575329,22.3,-7.95
0.007778855,22.9,-7.96
0.00837807,22.3,-7.95
0.00833048,22.3,-7.96
0.008250115,22.6,-7.96
0.008392813,22.3,-7.96
0.009274601,22.3,-8.19
0.009199239,22.3,-8.19
0.008598378,22.6,-8.19
0.009286433,22.3,-8.32
0.009795071,22.1,-8.32
0.00935692,21.8,-8.32
0.009897831,21.8,-8.39
0.01022937,21.8,-8.39
0.01045366,21.8,-8.39
0.01041306,21.8,-8.39
0.01146932,21.2,-8.62
0.01101124,21.5,-8.62
0.01151398,21.0,-8.62
0.01145796,21.5,-8.73
0.01245049,21.0,-8.74
0.01292357,21.0,-8.87
0.001866127,29.6,-5.04
0.00153534,28.7,-5.04
0.001847716,29.1,-5.02
0.001880661,30.5,-5.02
0.001873091,29.6,-5.02
0.001746456,28.3,-5.02
0.001852028,30.1,-5.02
0.001927911,28.7,-5.02
0.00188901,29.1,-5.02
0.001909249,29.1,-5.02
0.001903046,29.1,-5.02
0.002011772,29.1,-5.02
0.001851474,30.1,-5.02
0.002771002,29.1,-5.71
0.002631613,27.8,-5.7
0.002311716,28.3,-5.7
0.002414769,27.8,-5.7
0.002721155,27.8,-5.7
0.003888066,26.3,-6.4
0.004904418,25.9,-6.84
0.005025005,25.5,-6.84
0.006068043,24.8,-7.35
0.006068279,24.8,-7.33
0.008078367,22.9,-7.89
0.007955656,22.6,-7.89
0.007118272,22.9,-7.62
0.006500511,23.2,-7.62
0.00700789,23.2,-7.62
0.007068405,24.5,-7.62
0.006559784,23.2,-7.5
0.00520377,23.2,-7.09
0.005358764,24.2,-7.09
0.004354712,24.2,-6.84
0.004647729,25.9,-6.83
0.005704665,24.2,-7.24
0.005477909,24.5,-7.25
0.005806847,23.8,-7.25
